"","id","trial","cond_lag","count_lag","graph_order","pooled_order","hr","rating"
"177",3,25,"CS-US",1,5,1,4.26583333333333,60
"178",3,26,"CS",1,4,4,6.50450000000001,86
"179",3,27,"CS",2,3,3,-2.6445,100
"180",3,28,"CS",3,2,2,8.93083333333333,78
"181",3,29,"CS-US",1,5,1,4.76391666666666,39
"182",3,30,"CS",1,4,4,3.30441666666666,89
"183",3,31,"CS-US",1,5,1,-2.63233333333334,100
"184",3,32,"CS",1,4,4,-1.34933333333334,79
"185",3,33,"CS",2,3,3,-1.44225,100
"186",3,34,"CS",3,2,2,4.39979166666667,97
"187",3,35,"CS",4,1,1,5.41358333333333,100
"188",3,36,"CS-US",1,5,1,-2.46437499999999,61
"189",3,37,"CS-US",2,6,2,-5.43980952380953,26
"190",3,38,"CS",1,4,4,-2.05720833333333,100
"191",3,39,"CS",2,3,3,-7.57495833333333,100
"192",3,42,"CS",2,3,3,14.0377083333333,60
"193",3,43,"CS-US",1,5,1,-2.23383333333333,89
"194",3,45,"CS",1,4,4,12.8754166666667,81
"195",3,46,"CS-US",1,5,1,0.611541666666664,79
"196",3,47,"CS-US",2,6,2,-4.05558333333334,97
"197",3,48,"CS-US",3,7,3,2.142375,75
"198",3,49,"CS-US",4,8,4,20.6479166666667,15
"199",3,50,"CS",1,4,4,-0.599500000000003,74
"200",3,51,"CS-US",1,5,1,7.46612500000001,90
"201",3,52,"CS",1,4,4,3.44145833333334,32
"202",3,53,"CS",2,3,3,1.81424999999999,96
"203",3,54,"CS-US",1,5,1,7.21783333333334,75
"204",3,55,"CS",1,4,4,6.99495833333333,100
"205",3,56,"CS-US",1,5,1,14.0623333333333,69
"206",3,57,"CS-US",2,6,2,7.12612500000001,85
"207",3,58,"CS",1,4,4,5.69429166666667,81
"208",3,59,"CS-US",1,5,1,4.72875000000001,91
"209",3,60,"CS-US",2,6,2,-0.0560000000000009,50
"210",3,61,"CS-US",3,7,3,4.01700000000001,22
"211",3,62,"CS",1,4,4,2.04912499999999,81
"212",3,63,"CS-US",1,5,1,8.25058333333334,27
"213",3,64,"CS",1,4,4,4.52962499999999,100
"214",3,65,"CS",2,3,3,-2.7915,71
"215",3,66,"CS",3,2,2,4.43395833333334,27
"216",3,67,"CS",4,1,1,2.504125,89
"217",3,68,"CS-US",1,5,1,-6.50212499999999,100
"218",3,69,"CS",1,4,4,-4.20304166666667,90
"219",3,70,"CS-US",1,5,1,12.1380416666667,92
"220",3,71,"CS-US",2,6,2,-1.41245833333334,44
"221",3,72,"CS-US",3,7,3,10.8154166666667,84
"222",3,73,"CS-US",4,8,4,0.215166666666665,27
"223",3,74,"CS",1,4,4,-8.36595833333333,90
"224",3,75,"CS",2,3,3,7.18366666666667,10
"225",3,76,"CS-US",1,5,1,12.55775,100
"226",3,78,"CS",1,4,4,-12.1647916666667,100
"227",3,79,"CS-US",1,5,1,10.5437083333333,40
"228",3,80,"CS-US",2,6,2,9.15208333333334,75
"229",3,81,"CS-US",3,7,3,-4.64179166666666,90
"230",3,82,"CS",1,4,4,1.27112499999999,25
"231",3,83,"CS",2,3,3,5.58933333333334,17
"232",3,84,"CS-US",1,5,1,-5.54858333333333,100
"233",3,85,"CS-US",2,6,2,0.397666666666668,80
"234",3,86,"CS-US",3,7,3,16.9161666666667,27
"235",3,87,"CS-US",4,8,4,4.99766666666666,81
"236",3,88,"CS",1,4,4,3.89608333333333,96
"237",3,89,"CS-US",1,5,1,4.221375,78
"238",3,90,"CS",1,4,4,-1.98629166666667,24
"239",3,91,"CS",2,3,3,9.14679166666667,74
"240",3,92,"CS-US",1,5,1,-17.4595416666667,79
"241",3,93,"CS-US",2,6,2,-2.74166666666667,82
"242",3,94,"CS",1,4,4,12.8735833333333,18
"243",3,95,"CS-US",1,5,1,-1.31941666666667,86
"244",3,96,"CS",1,4,4,3.90254166666667,73
"245",3,97,"CS",2,3,3,16.3040833333333,100
"246",3,98,"CS",3,2,2,-4.35158333333334,86
"247",3,99,"CS-US",1,5,1,-6.38962499999999,75
"248",3,100,"CS-US",2,6,2,7.21858333333334,77
"249",3,101,"CS-US",3,7,3,4.65670833333334,74
"250",3,102,"CS",1,4,4,-8.90466666666667,100
"251",3,103,"CS-US",1,5,1,-8.5345,62
"252",3,104,"CS-US",2,6,2,-3.32387500000001,74
"253",3,105,"CS",1,4,4,-0.992041666666665,81
"254",3,106,"CS-US",1,5,1,2.88033333333333,76
"255",3,107,"CS-US",2,6,2,-4.57687499999999,88
"256",3,108,"CS",1,4,4,-4.26145833333333,18
"257",3,109,"CS",2,3,3,2.23995833333333,78
"258",3,110,"CS",3,2,2,5.33345833333333,100
"259",3,111,"CS-US",1,5,1,0.420666666666659,49
"260",3,112,"CS",1,4,4,2.74,30
"261",3,113,"CS-US",1,5,1,6.29295833333333,81
"262",3,114,"CS",1,4,4,4.86891666666667,89
"263",3,115,"CS-US",1,5,1,1.59758333333334,78
"264",3,116,"CS",1,4,4,3.139,28
"265",3,117,"CS-US",1,5,1,2.83766666666667,89
"266",3,119,"CS",1,4,4,-10.7602916666667,100
"267",3,120,"CS-US",1,5,1,5.78416666666666,73
"268",3,121,"CS",1,4,4,-9.32375,32
"269",3,122,"CS-US",1,5,1,10.0661666666667,80
"270",3,123,"CS-US",2,6,2,-11.0255416666667,67
"271",3,124,"CS-US",3,7,3,-2.88537500000001,19
"272",3,125,"CS",1,4,4,4.35858333333334,69
"273",3,126,"CS-US",1,5,1,-0.575791666666676,100
"274",3,127,"CS-US",2,6,2,-2.27379166666667,74
"275",3,128,"CS",1,4,4,-9.15620833333333,100
"276",3,129,"CS",2,3,3,8.54816666666666,8
"277",3,130,"CS-US",1,5,1,3.33066666666666,100
"278",3,131,"CS-US",2,6,2,6.57220833333334,86
"279",3,132,"CS-US",3,7,3,3.493125,58
"280",3,133,"CS",1,4,4,0.0468333333333391,13
"281",3,134,"CS-US",1,5,1,7.92770833333333,40
"282",3,135,"CS-US",2,6,2,3.174,66
"283",3,136,"CS",1,4,4,0.328999999999994,10
"284",3,137,"CS",2,3,3,5.13775000000001,63
"285",3,138,"CS",3,2,2,1.44154166666667,85
"286",3,139,"CS-US",1,5,1,3.93887499999999,19
"287",3,140,"CS",1,4,4,2.41658333333333,81
"288",3,141,"CS-US",1,5,1,-7.05654166666667,70
"289",3,142,"CS",1,4,4,-11.2060833333333,100
"290",3,143,"CS",2,3,3,2.174625,75
"291",3,144,"CS-US",1,5,1,-4.967875,94
"292",3,145,"CS",1,4,4,-0.371958333333339,31
"293",3,146,"CS",2,3,3,7.37079166666667,86
"294",3,147,"CS",3,2,2,-3.33104166666667,25
"295",3,148,"CS-US",1,5,1,0.146541666666669,79
"296",3,149,"CS",1,4,4,8.87929166666666,36
"297",3,150,"CS",2,3,3,10.7074583333333,82
