"","id","trial","condition","count","cond_lag","count_lag","graph_order","pooled_order","hr","rating"
"201",4,119,"CS-US",1,"CS",2,3,3,9.29833333333334,84
"202",4,122,"CS-US",1,"CS",2,3,3,-0.561000000000001,92
"203",4,124,"CS-US",1,"CS",1,4,4,0.0498333333333408,92
"204",4,125,"CS-US",2,"CS-US",1,5,1,4.50161111111111,26
"205",4,126,"CS-US",3,"CS-US",2,6,2,-0.473333333333329,70
"206",4,127,"CS-US",4,"CS-US",3,7,3,-1.44227777777777,17
"207",4,129,"CS-US",1,"CS",1,4,4,-2.64061111111112,27
"208",4,130,"CS-US",2,"CS-US",1,5,1,-10.9804444444444,36
"209",4,131,"CS-US",3,"CS-US",2,6,2,1.77900000000001,20
"210",4,133,"CS-US",1,"CS",1,4,4,-1.44594444444445,57
"211",4,134,"CS-US",2,"CS-US",1,5,1,-2.20988888888888,21
"212",4,136,"CS-US",1,"CS",1,4,4,-4.28955555555556,20
"213",4,139,"CS-US",1,"CS",2,3,3,2.14166666666667,27
"214",4,140,"CS-US",2,"CS-US",1,5,1,-13.6703888888889,25
"215",4,141,"CS-US",3,"CS-US",2,6,2,6.30894444444445,83
"216",4,143,"CS-US",1,"CS",1,4,4,-0.615944444444447,28
"217",4,146,"CS-US",1,"CS",2,3,3,-6.97861111111112,17
"218",4,148,"CS-US",1,"CS",1,4,4,-1.98227777777778,23
"219",4,149,"CS-US",2,"CS-US",1,5,1,9.48277777777778,17
"220",4,152,"CS-US",1,"CS",2,3,3,0.422055555555554,74
"221",4,154,"CS-US",1,"CS",1,4,4,0.992111111111116,67
"222",4,155,"CS-US",2,"CS-US",1,5,1,1.70211111111111,19
"223",5,3,"CS-US",1,"CS",2,3,3,1.75877777777778,75
"224",5,4,"CS-US",2,"CS-US",1,5,1,-7.70511111111111,23
"225",5,7,"CS-US",1,"CS",2,3,3,3.56272222222223,92
"226",5,8,"CS-US",2,"CS-US",1,5,1,4.66866666666666,26
"227",5,10,"CS-US",1,"CS",1,4,4,11.6613333333333,63
"228",5,12,"CS-US",1,"CS",1,4,4,6.23983333333333,27
"229",5,13,"CS-US",2,"CS-US",1,5,1,6.71483333333333,33
"230",5,22,"CS-US",1,"CS",3,2,2,-10.8638333333333,60
"231",5,24,"CS-US",1,"CS",1,4,4,-6.46677777777777,56
"232",5,25,"CS-US",2,"CS-US",1,5,1,1.79016666666667,45
"233",5,26,"CS-US",3,"CS-US",2,6,2,-11.2298888888889,39
"234",5,28,"CS-US",1,"CS",1,4,4,3.99472222222223,55
"235",5,29,"CS-US",2,"CS-US",1,5,1,3.18483333333333,59
"236",5,30,"CS-US",3,"CS-US",2,6,2,4.95355555555556,34
"237",5,32,"CS-US",1,"CS",1,4,4,-4.20083333333333,56
"238",5,34,"CS-US",1,"CS",1,4,4,6.74538888888889,63
"239",5,35,"CS-US",2,"CS-US",1,5,1,2.13694444444445,63
"240",5,38,"CS-US",1,"CS",2,3,3,-13.2193333333333,63
"241",5,40,"CS-US",1,"CS",1,4,4,-1.4285,42
"242",5,41,"CS-US",2,"CS-US",1,5,1,5.25583333333334,40
"243",5,44,"CS-US",1,"CS",2,3,3,-1.37933333333334,79
"244",5,45,"CS-US",2,"CS-US",1,5,1,10.5592222222222,27
"245",5,46,"CS-US",3,"CS-US",2,6,2,1.72666666666666,20
"246",5,50,"CS-US",1,"CS",3,2,2,-4.12266666666666,83
"247",5,51,"CS-US",2,"CS-US",1,5,1,5.94288888888888,37
"248",5,53,"CS-US",1,"CS",1,4,4,4.113875,57
"249",5,54,"CS-US",2,"CS-US",1,5,1,6.23377777777778,35
"250",5,58,"CS-US",1,"CS",3,2,2,-0.150000000000005,81
"251",5,59,"CS-US",2,"CS-US",1,5,1,6.73622222222222,52
